id	file_name	title	composer	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link
14	dataset/jazz1350/A Ghost Of A Chance.xml	A Ghost Of A Chance	Victor Young	ade9c30c-faf5-3219-aa4a-6631d39deea7	['Victor Young']	['Bing Crosby', 'Ned Washington']	Song	Q5976963	original song composed by composed by Victor Young, lyrics written by Ned Washington and Bing Crosby; first recorded by Bing Crosby	mc0002675613	https://en.wikipedia.org/wiki/I_Don%27t_Stand_a_Ghost_of_a_Chance_with_You
15	dataset/jazz1350/A Kiss To Build A Dream On.xml	A Kiss To Build A Dream On	Kalmar-Ruby-Hammerstein	7f8d6a17-e13b-328a-8e30-0a9dc00e7e4b	['Harry Ruby']	['Bert Kalmar', 'Oscar Hammerstein II']	Song	Q4657597	"song composed by Harry Ruby, lyrics by Bert Kalmar and Oscar Hammerstein II; from the 1951 movie ""The Strip"""	mc0002490251	https://en.wikipedia.org/wiki/A_Kiss_to_Build_a_Dream_On
16	dataset/jazz1350/A Little Tear.xml	A Little Tear	Deodato-Valle		[]	[]					
17	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	A Lovely Way To Spend An Evening	Jimmy McHugh	1bbd3f8c-c44c-404f-bb9a-5536a7f7af1e	['Jimmy McHugh']	['Harold Adamson']	Song	Q4657983	"original song composed by Jimmy McHugh, lyrics by Harold Adamson; from the 1944 film ""Higher and Higher"""	mc0002663070	https://en.wikipedia.org/wiki/A_Lovely_Way_to_Spend_an_Evening
18	dataset/jazz1350/A Night In Tunisia.xml	A Night In Tunisia	Dizzy Gillespie	aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e	['Dizzy Gillespie', 'Frank Paparelli']	[]	Song	Q300503	song by Dizzy Gillespie		https://en.wikipedia.org/wiki/A_Night_in_Tunisia
19	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	A Nightingale Sang In Berkeley Square	Manning Sherwin	1b963c92-c5a6-39cf-a411-264eba69e9b5	['Manning Sherwin']	['Eric Maschwitz']	Song	Q4658646	original song composed by Manning Sherwin, lyrics by Eric Maschwitz	mc0002390175	https://en.wikipedia.org/wiki/A_Nightingale_Sang_in_Berkeley_Square
20	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	A Pretty Girl Is Like A Melody	Irving Berlin	bdf329ce-0d75-3519-afe6-8afb1f46e029	['Irving Berlin']	[]	Song				
21	dataset/jazz1350/A Sleepin' Bee.xml	A Sleepin' Bee	Harold Arlen	603c64a6-90cd-37ba-8fb7-277760b2123c	['Harold Arlen']	['Harold Arlen', 'Truman Capote']	Song	Q4659572	song		https://en.wikipedia.org/wiki/A_Sleepin%27_Bee
22	dataset/jazz1350/A Smooth One.xml	A Smooth One	Benny Goodman	73c7797a-3a44-3a18-a787-6229e84fbfc1	['Benny Goodman']	[]	Song				
23	dataset/jazz1350/A Sound For Sore Ears.xml	A Sound For Sore Ears	Jimmy Heath	57644516-7ec7-4fa1-888f-bf324f937ff8	['Jimmy Heath']	[]	Song				
24	dataset/jazz1350/A Sunday Kind Of Love.xml	A Sunday Kind Of Love	Belle-Prima-Leonard-Rhodes	f06cea1b-d641-42e2-b399-2f092a9c53ea	['Anita Leonard', 'Barbara Belle', 'Louis Prima', 'Stan Rhodes']	[]	Song				
25	dataset/jazz1350/A Taste Of Honey.xml	A Taste Of Honey	Marlow-Scott	47dcb656-3e85-39eb-ab71-d2e75564fc44	['Bobby Scott']	['Ric Marlow']	Song	Q300586	original song written and composed by Bobby Scott (music) and Ric Marlow (words)	mc0002629486	https://en.wikipedia.org/wiki/A_Taste_of_Honey_(song)
26	dataset/jazz1350/A Time For Love.xml	A Time For Love	Johnny Mandel	9f0bfa8b-394d-45de-b8e7-6df23766000b	['Johnny Mandel']	['Paul Francis Webster']	Song				
27	dataset/jazz1350/A Tisket A Tasket.xml	A Tisket A Tasket	Traditional	282b07a7-3311-4c26-9f41-0bb7dce3417c	['[traditional]']	['[traditional]']	Song	Q4646947	song performed by Ella Fitzgerald		https://en.wikipedia.org/wiki/A-Tisket,_A-Tasket
28	dataset/jazz1350/A Weaver Of Dreams.xml	A Weaver Of Dreams	Victor Young	0a09d3fe-238f-40e4-aaa9-e57a8a806a42	['John Elliot', 'Victor Young']	[]	Song				
29	dataset/jazz1350/A Wonderful Day Like Today.xml	A Wonderful Day Like Today	Bricusse-Newley	8acc8960-f925-417e-937a-e15fa7fd8e59	['Anthony Newley', 'Leslie Bricusse']	[]	Song				
30	dataset/jazz1350/Ablution.xml	Ablution	Lennie Tristano		[]	[]					
31	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	Ac-Cent-Tchu-Ate The Positive	Harold Arlen	5038f3b8-0451-36dc-8cc8-cd6cc6fb4683	['Harold Arlen']	['Johnny Mercer']	Song	Q938338	"original song composed by Harold Arlen, lyrics by Johnny Mercer; from the 1944 film ""Here Come the Waves"""	mc0002457872	https://en.wikipedia.org/wiki/Ac-Cent-Tchu-Ate_the_Positive
32	dataset/jazz1350/Across The Alley From The Alamo.xml	Across The Alley From The Alamo	Joe Greene	06fd55e6-380f-371b-806d-98b39b60f3ae	['Joe Greene']	['Joe Greene']	Song				
33	dataset/jazz1350/Adam's Apple.xml	Adam's Apple	Wayne Shorter	577b6dfa-afcd-357b-9f11-5fe7a699a201	['Wayne Shorter']	[]					
34	dataset/jazz1350/Affirmation.xml	Affirmation	José Feliciano	300e969f-1929-42d9-9ca8-196a99ff41a0	['José Feliciano']	[]					
35	dataset/jazz1350/African Queen, The.xml	African Queen, The	Horace Silver	e5659465-c6ba-3ee8-9552-26228d0f4b69	['Horace Silver']	[]	Song				
36	dataset/jazz1350/Afro Blue.xml	Afro Blue	Mongo Santamaria	c9740ef0-62c7-3b69-9a83-9eac816a7d66	['Mongo Santamaría']	[]	Song				
37	dataset/jazz1350/Afro Centric.xml	Afro Centric	Joe Henderson		[]	[]					
38	dataset/jazz1350/After You've Gone.xml	After You've Gone	Henry Creamer	b2406af1-d25b-3b15-93ed-20feff58166e	['Turner Layton']	['Henry Creamer']	Song	Q127138	song		https://en.wikipedia.org/wiki/After_You%27ve_Gone_(song)
39	dataset/jazz1350/After You.xml	After You	Cole Porter	ce3e0eab-f52f-446d-9d77-70e6b5246f37	['Cole Porter']	['Cole Porter']	Song				
40	dataset/jazz1350/Afternoon In Paris.xml	Afternoon In Paris	John Lewis	0ea0ac3c-faa7-47db-8eb4-d33f78d145d3	['John Lewis']	[]		Q4690787	jazz song		https://en.wikipedia.org/wiki/Afternoon_in_Paris
41	dataset/jazz1350/Again.xml	Again	Lionel Newman	0010e4d4-5ba5-41d2-909a-0c1a7b9dfb03	['Lionel Newman']	['Dorcas Cochran']	Song				
42	dataset/jazz1350/Agua De Beber.xml	Agua De Beber	Antonio Carlos Jobim	8bbf6da7-aab1-394b-9bb6-ddfea5477fa1	['Antônio Carlos Jobim']	['Vinicius de Moraes']	Song				
43	dataset/jazz1350/Ahmid-6.xml	Ahmid-6	Pat Metheny	60f00c0f-170a-30cf-88da-f60213da00af	['Pat Metheny']	[]					
44	dataset/jazz1350/Ain't Misbehavin'.xml	Ain't Misbehavin'	Fats Waller	56457469-73b4-3564-9e42-8aeaf21256fb	['Fats Waller', 'Harry Brooks']	['Andy Razaf']	Song	Q406268	1929 song		https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(song)
45	dataset/jazz1350/Ain't She Sweet.xml	Ain't She Sweet	Milton Ager	f6babd02-0629-3d3b-b93b-fdfbc2c08188	['Milton Ager']	['Jack Yellen']		Q406297	1927 song by Milton Ager and Jack Yellen	mc0002415634	https://en.wikipedia.org/wiki/Ain%27t_She_Sweet
46	dataset/jazz1350/Airegin.xml	Airegin	Sonny Rollins	e5413e11-6aec-3b13-8989-8a531202fbd4	['Sonny Rollins']	[]		Q2828704	standard de jazz		https://en.wikipedia.org/wiki/Airegin
47	dataset/jazz1350/Airmail Special.xml	Airmail Special	Charlie Christian		[]	[]					
48	dataset/jazz1350/Aisha.xml	Aisha	McCoy Tyner	1e022be1-5ef6-38b3-94ad-2b3e0ae6760c	['McCoy Tyner']	[]	Song				
49	dataset/jazz1350/Alexander's Ragtime Band.xml	Alexander's Ragtime Band	Irving Berlin	87cff773-9735-32dc-a591-6edb14edb632	['Irving Berlin']	['Irving Berlin']	Song	Q1293813	1911 song composed by Irving Berlin		https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band
50	dataset/jazz1350/Alfie's Theme.xml	Alfie's Theme	Sonny Rollins	1b31ef19-92db-43e7-91e7-43c5f067d930	['Sonny Rollins']	[]					
51	dataset/jazz1350/Alfie.xml	Alfie	Burt Bacharach	df8579f1-38ec-3790-8fee-efcf91c8a54e	['Burt Bacharach']	['Hal David']	Song	Q1895177	1966 single by Cilla Black		https://en.wikipedia.org/wiki/Alfie_(Burt_Bacharach_song)
52	dataset/jazz1350/Alice In Wonderland.xml	Alice In Wonderland	Sammy Fain	802b3db2-83b8-3d46-9d2a-5e30ffbc68bb	['Sammy Fain']	['Bob Hilliard']	Song	Q16238542	"song from Disney's ""Alice in Wonderland"" (1951)"		https://en.wikipedia.org/wiki/Alice_in_Wonderland_(song)
53	dataset/jazz1350/All About Ronnie.xml	All About Ronnie	Joe Greene	d9eef883-0c52-42c3-a77b-39738a382431	['Joe Greene']	['Joe Greene']	Song				
54	dataset/jazz1350/All Alone.xml	All Alone	Irving Berlin	250f292b-dbd2-36b5-91f4-7ae195edc00c	['Irving Berlin']	['Irving Berlin']	Song	Q4728546	"original show tune written and composed by Irving Berlin; from the 1924 Broadway show ""The Music Box Revue"""	mc0002551854	https://en.wikipedia.org/wiki/All_Alone_(Irving_Berlin_song)
55	dataset/jazz1350/All Blues.xml	All Blues	Miles Davis	46e6bfc3-5f37-3e6e-a2be-1938072b1375	['Miles Davis']	[]	Song	Q2600918	song composed by Miles Davis performed by Miles Davis		https://en.wikipedia.org/wiki/All_Blues
56	dataset/jazz1350/All By Myself.xml	All By Myself	Irving Berlin	fc817c65-b8a3-4b59-badd-e80c8f1da09c	['Irving Berlin']	['Irving Berlin']	Song	Q4729937	original song written and composed by Irving Berlin	mc0002373535	https://en.wikipedia.org/wiki/All_by_Myself_(Irving_Berlin_song)
57	dataset/jazz1350/All God's Chillun Got Rhythm.xml	All God's Chillun Got Rhythm	Kahn-Kaper	ac95b71c-36cf-4b4f-9cd5-460b3b9b5795	['Bronisław Kaper', 'Walter Jurmann']	['Gus Kahn']	Song	Q4728756	song		https://en.wikipedia.org/wiki/All_God%27s_Chillun_Got_Rhythm
58	dataset/jazz1350/All My Tomorrows.xml	All My Tomorrows	Jimmy Van Heusen	3d09aa91-b5b2-46d2-a77a-5a2f165fb1a6	['Jimmy Van Heusen']	['Sammy Cahn']	Song	Q30601569	"original song written and composed by Jimmy Van Heusen, lyrics by Sammy Cahn; from the 1959 film ""A Hole in the Head"""		https://en.wikipedia.org/wiki/All_My_Tomorrows_(song)
59	dataset/jazz1350/All Of A Sudden My Heart Sings.xml	All Of A Sudden My Heart Sings	Herpin-Jamblan-Rome	0ab954ae-cb77-30b1-b44d-b9a4b1bbb96a	['Laurent Henri Herpin']	['Jean Blanvillain']	Song				
60	dataset/jazz1350/All Of Me.xml	All Of Me	Gerald Marks	74df7931-9ee4-355f-a9ad-917e06faa2da	['Gerald Marks', 'Seymour Simons']	[]	Song	Q1818379	original song written and composed by Gerald Marks and Seymour Simons; jazz standard	mc0002485308	https://en.wikipedia.org/wiki/All_of_Me_(jazz_standard)
61	dataset/jazz1350/All Of You.xml	All Of You	Cole Porter	c9a51eb1-c80a-33e9-b015-370654cda985	['Cole Porter']	['Cole Porter']	Song	Q4730061	song by Cole Porter		https://en.wikipedia.org/wiki/All_of_You_(Cole_Porter_song)
62	dataset/jazz1350/All Or Nothing At All.xml	All Or Nothing At All	Arthur Altman	d074d059-d8a0-3b2f-8b2a-9138d7166a42	['Arthur Altman', 'Jack Lawrence']	['Jack Lawrence']	Song	Q3612234	original song composed by Arthur Altman, lyrics by Jack Lawrence		https://en.wikipedia.org/wiki/All_or_Nothing_at_All
63	dataset/jazz1350/All The Things You Are.xml	All The Things You Are	Jerome Kern	6c0ae4fc-2893-363a-a3e9-f04324e0f525	['Jerome Kern']	['Oscar Hammerstein II']	Song	Q1410072	"original show tune composed by Jerome Kern, lyrics by Oscar Hammerstein II; from the 1939 musical ""Very Warm for May"""	mc0002430414	https://en.wikipedia.org/wiki/All_the_Things_You_Are
64	dataset/jazz1350/All The Way.xml	All The Way	Jimmy Van Heusen	bb27e40b-0d44-39ec-bd7d-e1288744a7fc	['Jimmy Van Heusen']	['Sammy Cahn']	Song	Q4730203	"original song composed by Jimmy Van Heusen, lyrics by Sammy Cahn; from the 1957 film by ""The Joker Is Wild"""	mc0002004195	https://en.wikipedia.org/wiki/All_the_Way_(Frank_Sinatra_song)
65	dataset/jazz1350/All Through The Day.xml	All Through The Day	Kern-Hammerstein	58813e84-9e50-4cbf-9859-2e2ca199885b	['Jerome Kern', 'Oscar Hammerstein II']	[]	Song				
66	dataset/jazz1350/All Through The Night.xml	All Through The Night	Cole Porter	d178093b-c5e5-3d8b-9fae-423f60a7f157	['Cole Porter']	['Cole Porter']	Song	Q4729811	1934 Cole Porter song		https://en.wikipedia.org/wiki/All_Through_the_Night_(Cole_Porter_song)
67	dataset/jazz1350/All Too Soon.xml	All Too Soon	Duke Ellington	fdf56a40-c7dc-3fdc-bbea-029192d66f8b	['Duke Ellington']	['Carl Sigman']	Song	Q3369017	single		https://en.wikipedia.org/wiki/All_Too_Soon
68	dataset/jazz1350/Almost Like Being In Love.xml	Almost Like Being In Love	Frederick Loewe	6a3dc627-859e-3800-809d-c18c4622031e	['Frederick Loewe']	['Alan Jay Lerner']	Song	Q2649768	"original show tune by Lerner and Loewe; from the 1947 musical ""Brigadoon"""	mc0002480972	https://en.wikipedia.org/wiki/Almost_Like_Being_in_Love
69	dataset/jazz1350/Alone Together.xml	Alone Together	Arthur Schwartz	2eeec569-6ada-3f76-8d65-4241b57b56e0	['Arthur Schwartz']	['Howard Dietz']	Song	Q4734404	1932 song by Arthur Schwartz and Howard Dietz		https://en.wikipedia.org/wiki/Alone_Together_(1932_song)
70	dataset/jazz1350/Alone Too Long.xml	Alone Too Long	Arthur Schwartz	ef215ff2-9440-45e7-b800-dfcb4f4deb8c	['Arthur Schwartz']	['Dorothy Fields']	Song				
71	dataset/jazz1350/Along Came Betty.xml	Along Came Betty	Benny Golson	5e276f16-4474-3c48-9740-8313d259f8c9	['Benny Golson']	[]	Song				
72	dataset/jazz1350/Always And Forever.xml	Always And Forever	Pat Metheny	cd90f5fd-cee6-46f3-ac59-c2d8661a4c5d	['Pat Metheny']	[]	Song				
73	dataset/jazz1350/Always.xml	Always	Irving Berlin	f5e3ae10-1453-3cb8-b1bb-724394e7dfe7	['Irving Berlin']	['Irving Berlin']	Song	Q3444686	1925 song by Irving Berlin	mc0002403622	https://en.wikipedia.org/wiki/Always_(Irving_Berlin_song)
74	dataset/jazz1350/Am I Blue.xml	Am I Blue	Harry Akst	aa5c0dc3-2964-38b5-a0a4-6393c1e31d53	['Harry Akst']	['Grant Clarke']	Song	Q4738922	original song composed by Harry Akst, lyrics by Grant Clarke; first recorded by Ethel Waters	mc0002468839	https://en.wikipedia.org/wiki/Am_I_Blue%3F
75	dataset/jazz1350/Among My Souvenirs.xml	Among My Souvenirs	Horatio Nicholls		[]	[]					
76	dataset/jazz1350/Ana Maria.xml	Ana Maria	Wayne Shorter	0bba09d8-fcb2-3e00-b9f9-5bb01587b8dd	['Wayne Shorter']	[]	Song				
77	dataset/jazz1350/And On The Third Day.xml	And On The Third Day	Michael Gibbs		[]	[]					
78	dataset/jazz1350/And The Angels Sing.xml	And The Angels Sing	Ziggy Elman	a4a610ab-9930-4d91-9699-6a82ddb7ec26	['Ziggy Elman']	['Johnny Mercer']	Song				
79	dataset/jazz1350/Angel Eyes.xml	Angel Eyes	Matt Dennis	6c0edf2e-3df6-31c2-855d-eb0cd62e184f	['Matt Dennis']	['Earl Brent']	Song	Q4762141	original song composed by Matt Dennis, lyrics by Earl K. Brent	mc0002416134	https://en.wikipedia.org/wiki/Angel_Eyes_(1946_song)
80	dataset/jazz1350/Anthropology.xml	Anthropology	Charlie Parker	cb5b25d5-b830-314c-8cba-26ea5f87887c	['Charlie Parker', 'Dizzy Gillespie']	[]	Song	Q574394	jazz composition written by Charlie Parker and Dizzie Gillespie		https://en.wikipedia.org/wiki/Anthropology_(composition)
81	dataset/jazz1350/Anything Goes.xml	Anything Goes	Cole Porter	ec1b7f10-36ce-378b-a572-962ccce8d453	['Cole Porter']	['Cole Porter']	Song	Q4778332	"original show tune written and composed by Cole Porter; from the 1934 musical ""Anything Goes"""	mc0002611354	https://en.wikipedia.org/wiki/Anything_Goes_(Cole_Porter_song)
82	dataset/jazz1350/April In Paris.xml	April In Paris	Vernon Duke	2adc274e-85ba-3620-91b8-4d4f5066e485	['Vernon Duke']	['Yip Harburg']	Song	Q4355132	"original show tune composed by Vernon Duke, lyrics by Yip Harburg; from the 1932 musical revue ""Walk a Little Faster"""	mc0002395421	https://en.wikipedia.org/wiki/April_in_Paris_(song)
83	dataset/jazz1350/April Joy.xml	April Joy	Pat Metheny	04ebf24c-8ea4-4da0-adab-e5273d0bb1b8	['Pat Metheny']	[]	Song				
84	dataset/jazz1350/April Skies.xml	April Skies	Buddy Collette	c2c2f3a6-dff7-4f4e-8db8-0cecdc25ec51	['Buddy Collette']	[]	Song				
85	dataset/jazz1350/April.xml	April	Lennie Tristano	ac37fbac-9cc1-4ae5-b504-707878e80a48	['Lakki Patey', 'Lennie Tristano']	[]					
86	dataset/jazz1350/Aren't You Glad You're You.xml	Aren't You Glad You're You	Jimmy Van Heusen	66898320-7458-4d42-9e23-bab8e003e50d	['Jimmy Van Heusen']	['Johnny Burke']	Song	Q15856674	song performed by Nat King Cole		https://en.wikipedia.org/wiki/Aren%27t_You_Glad_You%27re_You%3F
87	dataset/jazz1350/Arise, Her Eyes.xml	Arise, Her Eyes	Steve Swallow	a0f9648d-8a6a-46ee-9ad1-a5ed8fd8593f	['Steve Swallow']	[]	Song				
88	dataset/jazz1350/Armando's Rhumba.xml	Armando's Rhumba	Chick Corea	0939e587-d2ad-3a5f-b912-a4964cc0bf02	['Chick Corea']	[]					
89	dataset/jazz1350/As Long As I Live.xml	As Long As I Live	Harold Arlen	e531b5ed-23cc-4e95-bced-8137bd2f5901	['Harold Arlen']	['Ted Koehler']	Song	Q4802923	song written by Harold Arlen and Ted Koehler; performed by Lena Horne and others		https://en.wikipedia.org/wiki/As_Long_as_I_Live_(Harold_Arlen_and_Ted_Koehler_song)
90	dataset/jazz1350/As Time Goes By.xml	As Time Goes By	Herman Hupfeld	0675ec94-29a8-3ea6-a3a3-9c3675a3449e	['Herman Hupfeld']	['Herman Hupfeld']	Song	Q719975	"original show tune written and composed by Herman Hupfeld; from the 1931 musical ""Everybody's Welcome"""	mc0002355438	https://en.wikipedia.org/wiki/As_Time_Goes_By_(song)
91	dataset/jazz1350/Ask Me Now.xml	Ask Me Now	Thelonious Monk	46944964-7458-3a35-acdd-f60732ce3c13	['Thelonious Monk']	[]	Song	Q4807077	song		https://en.wikipedia.org/wiki/Ask_Me_Now
92	dataset/jazz1350/At Last.xml	At Last	Harry Warren	a309b2c0-bb43-31c5-9cd9-53d38b6361c0	['Harry Warren', 'Mack Gordon']	[]	Song	Q752942	"original film song composed by Harry Warren, lyrics by Mack Gordon; from the 1942 film ""Orchestra Wives"""	mc0002429515	https://en.wikipedia.org/wiki/At_Last
93	dataset/jazz1350/At Long Last Love.xml	At Long Last Love	Cole Porter	9f8872b3-8034-3f2c-ad8e-1429ae801adb	['Cole Porter']	['Cole Porter']	Song	Q4812366	"original show tune written and composed by Cole Porter; from the 1938 musical ""You Never Know"""	mc0002611196	https://en.wikipedia.org/wiki/At_Long_Last_Love_(song)
94	dataset/jazz1350/Au Privave.xml	Au Privave	Charlie Parker	47266c5d-1408-496a-bc3c-3b82c6a7d0f4	['Charlie Parker']	[]	Song	Q4818960	jazz tune composed Charlie Parker		https://en.wikipedia.org/wiki/Au_Privave
95	dataset/jazz1350/Autumn In New York.xml	Autumn In New York	Vernon Duke	84322430-c1e0-3720-9074-db3743edb6af	['Vernon Duke']	['Vernon Duke']	Song	Q789396	"original show tune written and composed by Vernon Duke; from the 1937 musical revue ""Thumbs Up!"""	mc0002412564	https://en.wikipedia.org/wiki/Autumn_in_New_York_(song)
96	dataset/jazz1350/Autumn Leaves.xml	Autumn Leaves	Joseph Kosma	048b4b7a-07c4-3e33-959f-268199324401	['Joseph Kosma']	['Jacques Prévert']	Song	Q79330104	"translated song; English language version of ""Les Feuilles mortes"", song lyrics adapted by Johnny Mercer"	mc0002412558	
97	dataset/jazz1350/Autumn Nocturne.xml	Autumn Nocturne	Gannon-Myrow	700b003b-ccb7-3146-a470-df4cdcbeede7	['Josef Myrow']	['Kim Gannon']	Song				
98	dataset/jazz1350/Avalon.xml	Avalon	Jolson-Sylva-Rose	4f3d4772-bb07-3f7e-b4b3-af6afbba082c	['Al Jolson', 'Buddy DeSylva', 'Vincent Rose']	[]	Song	Q790091	1920 popular song written by Al Jolson, Buddy DeSylva and Vincent Rose		https://en.wikipedia.org/wiki/Avalon_(Al_Jolson_song)
99	dataset/jazz1350/Ba-lue Bolivar Ba-lues-are.xml	Ba-lue Bolivar Ba-lues-are	Thelonious Monk	cdfd835d-e3e2-47cb-b224-cc9e1a58f3a0	['Thelonious Monk']	[]	Song				
100	dataset/jazz1350/Backstage Sally.xml	Backstage Sally	Wayne Shorter		[]	[]					
101	dataset/jazz1350/Bags and Trane.xml	Bags and Trane	Milt Jackson	ed620815-d854-424e-978d-346f92e2963d	['Milt Jackson']	[]	Song				
102	dataset/jazz1350/Bags' Groove.xml	Bags' Groove	Milt Jackson	e8381339-0422-421f-9fb8-f7a4211ce05c	['Milt Jackson']	[]	Song	Q800138	song		https://en.wikipedia.org/wiki/Bags%27_Groove_(composition)
103	dataset/jazz1350/Balance, The.xml	Balance, The	Dave Holland	21d03da5-9c8f-35a7-af07-e25e18c64153	['Dave Holland']	[]					
104	dataset/jazz1350/Ballade.xml	Ballade	Charlie Parker	077127aa-6c6d-4426-a502-3235eae00e42	['Charlie Parker', 'Coleman Hawkins']	[]	Song				
105	dataset/jazz1350/Baltimore Oriole.xml	Baltimore Oriole	Hoagy Carmichael	dc39ae08-d1e1-4e6b-9dd3-12471099fee5	['Hoagy Carmichael']	['Paul Francis Webster']	Song				
106	dataset/jazz1350/Barbados.xml	Barbados	Charlie Parker	8e1a20a2-9894-490b-aa0a-b69b8384c8ff	['Charlie Parker']	[]	Song				
107	dataset/jazz1350/Barbara.xml	Barbara	Horace Silver	692cccc8-ae1f-48a2-a020-0e4c51a11e42	['Horace Silver']	[]	Song				
108	dataset/jazz1350/Bark For Barksdale.xml	Bark For Barksdale	Gerry Mulligan	5a1cc89a-7caf-4c65-9f2e-78b038bda2bb	['Gerry Mulligan']	[]	Song				
109	dataset/jazz1350/Basin Street Blues.xml	Basin Street Blues	Spencer Williams	fc53ad7a-6f85-38ce-8b4f-d19231b68aaa	['Spencer Williams']	['Spencer Williams']	Song	Q810176	original song written and composed by Spencer Williams	mc0002389949	https://en.wikipedia.org/wiki/Basin_Street_Blues
110	dataset/jazz1350/Bat, The.xml	Bat, The	Pat Metheny	69bbeeec-b5cd-3491-8721-914497db657d	['Pat Metheny']	[]	Song				
111	dataset/jazz1350/Baubles, Bangles and Beads.xml	Baubles, Bangles and Beads	Borodin-Wright-Forrest	1a671639-41d5-3478-ad8d-005f22736677	['George Forrest', 'Robert Wright']	[]	Song	Q811117	"show tune; from the 1953 musical ""Kismet"""	mc0002450705	https://en.wikipedia.org/wiki/Baubles,_Bangles,_%26_Beads
112	dataset/jazz1350/Be Careful It's My Heart.xml	Be Careful It's My Heart	Irving Berlin	db2f0236-bdf0-4b6b-8c45-cf8a9388f588	['Irving Berlin']	['Irving Berlin']	Song	Q96609872	"original song written and composed by Irving Berling; from the 1942 film ""Holiday Inn"""		
113	dataset/jazz1350/Be My Love.xml	Be My Love	Nikolaus Brodszky		[]	[]					
